4355	4344	50352	50350	2538	4339	45253	4341	6961	576
4385	4364	4371	4384	4372	4370	4378	4365	35338	37913
246	643	894	374	3125	357	574	1102	10	5045
4455	12078	4448	91	3	6750	5378	430	15325	33399
12	1142	2747	246	1666	7261	1195	801	828	6130
1201	9490	8695	469	3630	448	1260	548	531	14790
4626	4686	4640	2787	5784	4635	25090	37200	37202	4621
2605	4759	4746	4407	4750	931	5488	1270	5847	1080
4913	47686	23347	2309	14348	19328	44748	30805	57695	32667
1066	643	347	2434	1076	170	2290	374	1564	288
5096	5079	4101	5078	4007	35867	18963	5074	25802	39280
1064	1571	1943	2013	2747	1626	607	7261	131	7839
5311	5261	5267	287	6281	299	19053	8647	296	6285
813	4188	196	124	2838	7016	7700	14771	233	577
2958	1066	2434	639	643	1076	347	170	1779	340
285	304	6285	2613	98	2623	7712	9708	5275	296
5556	5557	5500	1524	13917	4978	978	3874	596	8347
5613	684	6333	3215	261	298	1280	282	266	15906
1142	12	2747	246	1666	577	801	828	634	239
4379	4852	4991	226	731	2281	1066	1080	643	2958
966	2350	2027	1330	2827	745	16943	760	1383	4236
2168	297	10	973	3622	39	1066	292	5137	643
5861	51727	5963	32277	49588	5951	36324	5865	57421	5953
246	3114	12	1076	3125	56	730	2478	5045	5526
304	573	296	572	7712	2347	9141	591	383	2629
12	1142	246	2747	1666	577	7261	288	1195	239
6135	7723	3215	581	761	568	17	26	8	4645
258	284	545	2180	4247	10	8681	39	5590	91
3633	3632	3062	53799	6337	39987	10488	6318	928	6324
6244	340	1066	2290	643	2434	347	3786	4864	11265
304	6285	2613	98	2623	7712	9708	5275	296	762
26351	6970	42595	42591	42593	2545	978	3874	149	5636
3632	3062	1293	1127	928	10488	2947	474	3785	3221
2975	6826	466	455	484	3112	3114	69	435	2791
6458	58742	32951	13538	32747	9360	47190	16794	43644	38756
6646	13538	13549	28520	24247	26023	5645	16223	28502	37451
5467	11105	11102	339	354	6713	5518	614	14975	1528
246	3114	1076	3125	56	730	2478	5045	5526	92
531	69	3386	438	4053	249	484	2939	1203	3970
5459	4186	356	374	1272	361	2881	3668	366	3030
6943	41264	18862	34269	50176	8558	56698	25862	57249	52666
6750	17	3	605	33	283	758	31	563	225
7025	7099	1765	4991	3907	14404	147	2442	895	9767
466	7132	1779	10246	2791	3166	3001	484	3112	3114
7235	53138	32594	53549	20112	15642	29971	48349	18187	27977
1062	7698	4350	1336	3280	569	3281	6128	1117	17474
26	17	33	568	265	761	30	55	295	758
10	39	91	450	374	3	283	16	1140	13
7385	2922	6144	370	61589	7381	55373	43249	43248	61590
741	26	761	17	33	889	3800	5456	31	29
45866	7472	20097	20132	25951	16822	11332	5921	59419	58592
7582	52598	7577	10211	9958	10221	9044	5681	6018	1291
285	304	6285	2613	98	2623	7712	9708	5275	296
7677	235	16740	38923	233	3238	1960	5627	14306	2101
7721	6143	7698	7719	24120	7720	1062	155	25308	8152
288	3114	246	1076	12	56	730	2478	3125	5045
7816	26919	983	15840	12896	2027	17591	4236	14213	2350
7898	24016	20067	41645	60274	37193	25151	4887	60885	19413
466	484	2791	3112	2951	6826	3266	2989	2975	1203
7958	7972	38064	10140	56436	50845	11077	58387	28078	46781
3	68	605	39	17	1412	6750	91	1268	363
8053	3344	31048	6103	813	3921	6085	196	4188	40084
3898	146	12864	3207	3904	147	7792	34613	813	2632
6815	3970	3110	776	1246	6638	250	4253	50903	248
26	761	605	31	265	758	6	568	738	225
4	285	6	16384	764	43	13778	1797	732	5455
8406	8405	8408	8420	8409	8410	8414	8433	8429	8428
4113	37214	4640	5784	6823	25090	37209	37206	37200	2787
5296	304	285	2613	6285	296	4434	864	573	7712
3076	1426	474	928	699	1291	2196	91	5207	1317
8620	43803	42735	19544	56371	3442	28148	60168	9899	6416
8647	2613	6285	572	5267	304	13858	762	5275	21125
5295	469	1893	1260	1896	1895	448	3419	8694	3420
295	754	240	9	30	55	32	1308	225	33
8770	8755	21641	8774	13147	21638	8773	7777	45861	1128
505	55	30	1301	32	295	754	29	240	1308
8865	8866	8851	8848	8852	14338	376	3668	2881	1601
8925	14411	36897	57919	24368	54966	44377	18866	11424	53505
8964	4518	11960	2657	4350	681	6128	2347	3269	7709
